Date,Location,Price,CC.Loyalty,CC.Loyalty.Type,CreditCardTimestamp
1/7/2014,Brew've Been Served,15.66,L6110,Loyalty,NA
1/7/2014,Kalami Kafenion,11.64,L4034,Loyalty,NA
1/7/2014,Ouzeri Elian,28.37,L9406,Loyalty,NA
1/7/2014,Ouzeri Elian,17.71,L2247,Loyalty,NA
1/7/2014,Abila Zacharo,32.4,L9018,Loyalty,NA
1/7/2014,Gelatogalore,36.5,L1107,Loyalty,NA
1/7/2014,Ouzeri Elian,21.85,L6110,Loyalty,NA
1/7/2014,Katerina Cafe,37.44,L2343,Loyalty,NA
1/7/2014,Gelatogalore,15.4,L6267,Loyalty,NA
1/7/2014,Hippokampos,37.57,L8328,Loyalty,NA
1/7/2014,Albert's Fine Clothing,78.91,L6417,Loyalty,NA
1/7/2014,Katerina Cafe,31.6,L6110,Loyalty,NA
1/7/2014,Katerina Cafe,25.02,L2343,Loyalty,NA
1/7/2014,Guy's Gyros,23.12,L2247,Loyalty,NA
1/7/2014,Katerina Cafe,25.54,L6267,Loyalty,NA
1/7/2014,Ouzeri Elian,20.53,L1107,Loyalty,NA
1/8/2014,Hallowed Grounds,5.85,L8328,Loyalty,NA
1/8/2014,Brew've Been Served,3.09,L9406,Loyalty,NA
1/8/2014,Hallowed Grounds,3.9,L1107,Loyalty,NA
1/8/2014,Coffee Shack,13.13,L6417,Loyalty,NA
1/8/2014,Brew've Been Served,14.88,L2247,Loyalty,NA
1/8/2014,Brew've Been Served,8.4,L4034,Loyalty,NA
1/8/2014,Brew've Been Served,3.92,L2343,Loyalty,NA
1/8/2014,Hallowed Grounds,11.63,L6267,Loyalty,NA
1/8/2014,Brew've Been Served,11.48,L6110,Loyalty,NA
1/8/2014,Coffee Cameleon,16.17,L9018,Loyalty,NA
1/8/2014,Abila Zacharo,22.13,L4034,Loyalty,NA
1/8/2014,Gelatogalore,32.79,L6110,Loyalty,NA
1/8/2014,Kalami Kafenion,18.18,L6267,Loyalty,NA
1/8/2014,Kalami Kafenion,22.49,L2343,Loyalty,NA
1/8/2014,Ouzeri Elian,24.92,L2247,Loyalty,NA
1/8/2014,Abila Zacharo,28.25,L1107,Loyalty,NA
1/8/2014,Gelatogalore,22.27,L9018,Loyalty,NA
1/8/2014,Kalami Kafenion,34.98,L6417,Loyalty,NA
1/8/2014,Gelatogalore,39.94,L9406,Loyalty,NA
1/8/2014,Kalami Kafenion,31.43,L8328,Loyalty,NA
1/8/2014,Katerina Cafe,34.25,L4034,Loyalty,NA
1/8/2014,Katerina Cafe,13.83,L6110,Loyalty,NA
1/8/2014,Frydos Autosupply n' More,214.07,L9018,Loyalty,NA
1/8/2014,Frydos Autosupply n' More,268.89,L6267,Loyalty,NA
1/8/2014,Hippokampos,16.75,L6417,Loyalty,NA
1/8/2014,Katerina Cafe,16.93,L2343,Loyalty,NA
1/9/2014,Hallowed Grounds,15.24,L8328,Loyalty,NA
1/9/2014,Coffee Shack,5.01,L6417,Loyalty,NA
1/9/2014,Brew've Been Served,18.25,L2343,Loyalty,NA
1/9/2014,Hallowed Grounds,16.72,L6267,Loyalty,NA
1/9/2014,Coffee Cameleon,4.88,L9018,Loyalty,NA
1/9/2014,Hallowed Grounds,15.33,L1107,Loyalty,NA
1/9/2014,Gelatogalore,19.2,L4034,Loyalty,NA
1/9/2014,Hippokampos,27.47,L9018,Loyalty,NA
1/9/2014,Gelatogalore,23.23,L6110,Loyalty,NA
1/9/2014,Hippokampos,19.22,L2247,Loyalty,NA
1/9/2014,Gelatogalore,24.68,L1107,Loyalty,NA
1/9/2014,Kalami Kafenion,19.84,L9406,Loyalty,NA
1/9/2014,Kalami Kafenion,10.94,L8328,Loyalty,NA
1/9/2014,Kalami Kafenion,35.99,L6267,Loyalty,NA
1/9/2014,Guy's Gyros,27.69,L2343,Loyalty,NA
1/9/2014,Gelatogalore,36.75,L6417,Loyalty,NA
1/9/2014,Katerina Cafe,35.92,L8328,Loyalty,NA
1/9/2014,Katerina Cafe,26.6,L9406,Loyalty,NA
1/9/2014,Katerina Cafe,30.97,L6267,Loyalty,NA
1/9/2014,Katerina Cafe,29.82,L2343,Loyalty,NA
1/9/2014,Albert's Fine Clothing,224.52,L6417,Loyalty,NA
1/9/2014,Katerina Cafe,13.78,L4034,Loyalty,NA
1/9/2014,Guy's Gyros,8.23,L2247,Loyalty,NA
1/9/2014,Shoppers' Delight,258.43,L1107,Loyalty,NA
1/10/2014,Hallowed Grounds,16.75,L8328,Loyalty,NA
1/10/2014,Brew've Been Served,4.88,L9406,Loyalty,NA
1/10/2014,Hallowed Grounds,17.63,L1107,Loyalty,NA
1/10/2014,Coffee Cameleon,9.69,L9018,Loyalty,NA
1/10/2014,Brew've Been Served,5.91,L2247,Loyalty,NA
1/10/2014,Hallowed Grounds,9.34,L6267,Loyalty,NA
1/10/2014,Brew've Been Served,14.36,L6110,Loyalty,NA
1/10/2014,Katerina Cafe,21.22,L9018,Loyalty,NA
1/10/2014,Abila Zacharo,31.34,L1107,Loyalty,NA
1/10/2014,Kalami Kafenion,27.48,L4034,Loyalty,NA
1/10/2014,Guy's Gyros,38.15,L6110,Loyalty,NA
1/10/2014,Ouzeri Elian,24.74,L2247,Loyalty,NA
1/10/2014,Guy's Gyros,16.34,L8328,Loyalty,NA
1/10/2014,Abila Zacharo,9.32,L6267,Loyalty,NA
1/10/2014,Gelatogalore,32.19,L2343,Loyalty,NA
1/10/2014,Hippokampos,19.88,L6417,Loyalty,NA
1/10/2014,Frydos Autosupply n' More,43.65,L2343,Loyalty,NA
1/10/2014,Katerina Cafe,8.14,L6110,Loyalty,NA
1/10/2014,Katerina Cafe,21.28,L4034,Loyalty,NA
1/10/2014,Guy's Gyros,25.81,L2247,Loyalty,NA
1/11/2014,Katerina Cafe,45.21,L9018,Loyalty,NA
1/11/2014,Hippokampos,22.23,L6267,Loyalty,NA
1/11/2014,Kalami Kafenion,35.66,L6417,Loyalty,NA
1/11/2014,Shoppers' Delight,238.52,L9018,Loyalty,NA
1/11/2014,General Grocer,78.02,L8328,Loyalty,NA
1/11/2014,Katerina Cafe,20.71,L6267,Loyalty,NA
1/11/2014,Guy's Gyros,36.2,L2247,Loyalty,NA
1/11/2014,Katerina Cafe,25.76,L9406,Loyalty,NA
1/11/2014,Katerina Cafe,52.45,L2343,Loyalty,NA
1/11/2014,Frydos Autosupply n' More,236.25,L8328,Loyalty,NA
1/11/2014,Hippokampos,69.8,L6417,Loyalty,NA
1/11/2014,Katerina Cafe,94.68,L9018,Loyalty,NA
1/12/2014,Ouzeri Elian,98.45,L4034,Loyalty,NA
1/12/2014,Hippokampos,29.2,L6417,Loyalty,NA
1/12/2014,Guy's Gyros,30.47,L8328,Loyalty,NA
1/12/2014,Kronos Mart,147.3,L4034,Loyalty,NA
1/12/2014,General Grocer,159.3,L6417,Loyalty,NA
1/12/2014,Katerina Cafe,40.94,L4034,Loyalty,NA
1/12/2014,Frydos Autosupply n' More,88.93,L2247,Loyalty,NA
1/12/2014,Katerina Cafe,39.3,L8328,Loyalty,NA
1/12/2014,Katerina Cafe,16.34,L6110,Loyalty,NA
1/12/2014,Katerina Cafe,40.25,L9406,Loyalty,NA
1/12/2014,Frydos Autosupply n' More,161.96,L2343,Loyalty,NA
01/13/2014,Brew've Been Served,9.53,L9406,Loyalty,NA
01/13/2014,Hallowed Grounds,6.32,L6267,Loyalty,NA
01/13/2014,Brew've Been Served,13.37,L6110,Loyalty,NA
01/13/2014,Coffee Cameleon,17.49,L9018,Loyalty,NA
01/13/2014,Coffee Shack,4.09,L6417,Loyalty,NA
01/13/2014,Hallowed Grounds,15.96,L1107,Loyalty,NA
01/13/2014,Brew've Been Served,19.89,L2343,Loyalty,NA
01/13/2014,Katerina Cafe,38.98,L9018,Loyalty,NA
01/13/2014,Hippokampos,14.04,L4034,Loyalty,NA
01/13/2014,Guy's Gyros,21.03,L6110,Loyalty,NA
01/13/2014,Kalami Kafenion,20.33,L2247,Loyalty,NA
01/13/2014,Gelatogalore,36.24,L2343,Loyalty,NA
01/13/2014,Guy's Gyros,38.07,L6417,Loyalty,NA
01/13/2014,Gelatogalore,37.17,L1107,Loyalty,NA
01/13/2014,Hippokampos,26.96,L9406,Loyalty,NA
01/13/2014,Guy's Gyros,36.87,L8328,Loyalty,NA
01/13/2014,Frydos Autosupply n' More,188.57,L8328,Loyalty,NA
01/13/2014,Frydos Autosupply n' More,64.6,L6110,Loyalty,NA
01/13/2014,Ouzeri Elian,21.83,L1107,Loyalty,NA
01/13/2014,Katerina Cafe,33.57,L4034,Loyalty,NA
01/13/2014,Guy's Gyros,19.77,L2247,Loyalty,NA
01/13/2014,Hippokampos,32.29,L6417,Loyalty,NA
01/13/2014,Frydos Autosupply n' More,202.05,L9018,Loyalty,NA
01/14/2014,Brew've Been Served,14.67,L2247,Loyalty,NA
01/14/2014,Hallowed Grounds,16.67,L8328,Loyalty,NA
01/14/2014,Brew've Been Served,14.04,L9406,Loyalty,NA
01/14/2014,Brew've Been Served,9.53,L2343,Loyalty,NA
01/14/2014,Coffee Cameleon,11.67,L9018,Loyalty,NA
01/14/2014,Hallowed Grounds,10.65,L1107,Loyalty,NA
01/14/2014,Brew've Been Served,16.39,L4034,Loyalty,NA
01/14/2014,Coffee Shack,3.63,L6417,Loyalty,NA
01/14/2014,Hallowed Grounds,6.16,L6267,Loyalty,NA
01/14/2014,Brew've Been Served,11.53,L6110,Loyalty,NA
01/14/2014,Abila Zacharo,31.09,L6110,Loyalty,NA
01/14/2014,Kalami Kafenion,33.13,L4034,Loyalty,NA
01/14/2014,Katerina Cafe,11.26,L9018,Loyalty,NA
01/14/2014,Katerina Cafe,31.69,L6267,Loyalty,NA
01/14/2014,Ouzeri Elian,33.67,L1107,Loyalty,NA
01/14/2014,Kalami Kafenion,27.65,L9406,Loyalty,NA
01/14/2014,Gelatogalore,35.97,L2247,Loyalty,NA
01/14/2014,Ouzeri Elian,19.7,L6417,Loyalty,NA
01/14/2014,Gelatogalore,22.03,L8328,Loyalty,NA
01/14/2014,Hippokampos,16.73,L2343,Loyalty,NA
01/14/2014,Guy's Gyros,35.12,L2247,Loyalty,NA
01/14/2014,Katerina Cafe,31.94,L4034,Loyalty,NA
01/14/2014,Katerina Cafe,26.61,L2343,Loyalty,NA
01/14/2014,Ouzeri Elian,20.95,L1107,Loyalty,NA
01/14/2014,Katerina Cafe,25.4,L6110,Loyalty,NA
01/14/2014,Katerina Cafe,28.05,L6267,Loyalty,NA
01/14/2014,Frydos Autosupply n' More,49.21,L9406,Loyalty,NA
01/15/2014,Hallowed Grounds,18.69,L6267,Loyalty,NA
01/15/2014,Brew've Been Served,3.14,L9406,Loyalty,NA
01/15/2014,Brew've Been Served,8.42,L2247,Loyalty,NA
01/15/2014,Brew've Been Served,5.75,L6110,Loyalty,NA
01/15/2014,Coffee Shack,18.17,L6417,Loyalty,NA
01/15/2014,Coffee Cameleon,16.31,L9018,Loyalty,NA
01/15/2014,Hallowed Grounds,14.39,L1107,Loyalty,NA
01/15/2014,Brew've Been Served,3.47,L2343,Loyalty,NA
01/15/2014,Katerina Cafe,28.56,L9018,Loyalty,NA
01/15/2014,Kalami Kafenion,38.5,L4034,Loyalty,NA
01/15/2014,Ouzeri Elian,25.7,L2247,Loyalty,NA
01/15/2014,Kalami Kafenion,37.15,L6110,Loyalty,NA
01/15/2014,Guy's Gyros,12.19,L6267,Loyalty,NA
01/15/2014,Gelatogalore,24.96,L6417,Loyalty,NA
01/15/2014,Ouzeri Elian,26.61,L8328,Loyalty,NA
01/15/2014,Guy's Gyros,16.58,L2343,Loyalty,NA
01/15/2014,Gelatogalore,22.36,L1107,Loyalty,NA
01/15/2014,Abila Zacharo,26.82,L9406,Loyalty,NA
01/15/2014,Katerina Cafe,36.8,L6267,Loyalty,NA
01/15/2014,Guy's Gyros,24.91,L2247,Loyalty,NA
01/15/2014,Katerina Cafe,38.81,L4034,Loyalty,NA
01/15/2014,Katerina Cafe,29.33,L6110,Loyalty,NA
01/15/2014,Katerina Cafe,29.66,L9018,Loyalty,NA
01/15/2014,Katerina Cafe,21.61,L2343,Loyalty,NA
01/15/2014,Albert's Fine Clothing,228.15,L6417,Loyalty,NA
01/15/2014,Frydos Autosupply n' More,276.88,L9406,Loyalty,NA
01/15/2014,Ouzeri Elian,8.57,L1107,Loyalty,NA
01/16/2014,Brew've Been Served,5.05,L2247,Loyalty,NA
01/16/2014,Hallowed Grounds,17.92,L8328,Loyalty,NA
01/16/2014,Coffee Shack,10.48,L6417,Loyalty,NA
01/16/2014,Brew've Been Served,3.84,L9406,Loyalty,NA
01/16/2014,Coffee Cameleon,3.14,L9018,Loyalty,NA
01/16/2014,Hallowed Grounds,18.23,L6267,Loyalty,NA
01/16/2014,Hallowed Grounds,4.6,L1107,Loyalty,NA
01/16/2014,Brew've Been Served,11.21,L6110,Loyalty,NA
01/16/2014,Katerina Cafe,39.74,L4034,Loyalty,NA
01/16/2014,Hippokampos,13.05,L6267,Loyalty,NA
01/16/2014,Abila Zacharo,24.38,L9406,Loyalty,NA
01/16/2014,Katerina Cafe,38.32,L2247,Loyalty,NA
01/16/2014,Kalami Kafenion,9.27,L2343,Loyalty,NA
01/16/2014,Ouzeri Elian,8.52,L9018,Loyalty,NA
01/16/2014,Ouzeri Elian,8.47,L6417,Loyalty,NA
01/16/2014,Ouzeri Elian,31.21,L1107,Loyalty,NA
01/16/2014,Guy's Gyros,36.48,L8328,Loyalty,NA
01/16/2014,Octavio's Office Supplies,131.01,L2247,Loyalty,NA
01/16/2014,Katerina Cafe,13.68,L6110,Loyalty,NA
01/16/2014,Katerina Cafe,29.3,L4034,Loyalty,NA
01/16/2014,Albert's Fine Clothing,283.38,L6417,Loyalty,NA
01/16/2014,Katerina Cafe,18.79,L8328,Loyalty,NA
01/16/2014,Ouzeri Elian,22.65,L1107,Loyalty,NA
01/16/2014,Katerina Cafe,35.43,L9018,Loyalty,NA
01/16/2014,Katerina Cafe,30.56,L2343,Loyalty,NA
01/16/2014,Frydos Autosupply n' More,130.01,L9406,Loyalty,NA
01/17/2014,Brew've Been Served,11.69,L2247,Loyalty,NA
01/17/2014,Brew've Been Served,8.07,L9406,Loyalty,NA
01/17/2014,Coffee Shack,19.16,L6417,Loyalty,NA
01/17/2014,Hallowed Grounds,5.52,L6267,Loyalty,NA
01/17/2014,Coffee Cameleon,7.49,L9018,Loyalty,NA
01/17/2014,Brew've Been Served,18.15,L4034,Loyalty,NA
01/17/2014,Brew've Been Served,14.58,L6110,Loyalty,NA
01/17/2014,Hippokampos,38.21,L9018,Loyalty,NA
01/17/2014,Gelatogalore,18.1,L1107,Loyalty,NA
01/17/2014,Hippokampos,23.54,L6267,Loyalty,NA
01/17/2014,Kalami Kafenion,24.21,L6110,Loyalty,NA
01/17/2014,Guy's Gyros,15.12,L2343,Loyalty,NA
01/17/2014,Guy's Gyros,21.1,L6417,Loyalty,NA
01/17/2014,Abila Zacharo,11.95,L2247,Loyalty,NA
01/17/2014,Katerina Cafe,30.72,L9406,Loyalty,NA
01/17/2014,Ouzeri Elian,26.1,L8328,Loyalty,NA
01/17/2014,Katerina Cafe,21.16,L9018,Loyalty,NA
01/17/2014,Hippokampos,19.76,L6417,Loyalty,NA
01/17/2014,Frydos Autosupply n' More,124.52,L9406,Loyalty,NA
01/17/2014,Katerina Cafe,14.93,L8328,Loyalty,NA
01/17/2014,Katerina Cafe,36.12,L2343,Loyalty,NA
01/17/2014,Ouzeri Elian,26.4,L1107,Loyalty,NA
01/17/2014,Katerina Cafe,33.73,L4034,Loyalty,NA
01/17/2014,Frydos Autosupply n' More,67.29,L2247,Loyalty,NA
01/18/2014,Katerina Cafe,34.54,L6267,Loyalty,NA
01/18/2014,Kalami Kafenion,30.12,L2247,Loyalty,NA
01/18/2014,Kalami Kafenion,42.73,L2343,Loyalty,NA
01/18/2014,Gelatogalore,24.38,L1107,Loyalty,NA
01/18/2014,Katerina Cafe,37.26,L6110,Loyalty,NA
01/18/2014,Frydos Autosupply n' More,103.41,L2247,Loyalty,NA
01/18/2014,Albert's Fine Clothing,189.52,L6267,Loyalty,NA
01/18/2014,Frydos Autosupply n' More,234.53,L4034,Loyalty,NA
01/18/2014,Guy's Gyros,28.07,L2247,Loyalty,NA
01/18/2014,Ouzeri Elian,14.9,L1107,Loyalty,NA
01/18/2014,Katerina Cafe,32.68,L9018,Loyalty,NA
01/18/2014,Katerina Cafe,45.88,L6110,Loyalty,NA
01/18/2014,Hippokampos,55.03,L6417,Loyalty,NA
1/6/2014,Albert's Fine Clothing,276.9,L5777,Loyalty,NA
1/6/2014,Hallowed Grounds,8.05,L5777,Loyalty,NA
1/6/2014,Bean There Done That,10.28,L7783,Loyalty,NA
1/6/2014,Guy's Gyros,15.44,L7783,Loyalty,NA
1/6/2014,Hippokampos,21.33,L7783,Loyalty,NA
1/6/2014,Bean There Done That,16.09,L3191,Loyalty,NA
1/6/2014,Guy's Gyros,30.82,L3191,Loyalty,NA
1/6/2014,Abila Zacharo,30.08,L4164,Loyalty,NA
1/6/2014,Brewed Awakenings,5.72,L4164,Loyalty,NA
1/6/2014,Hippokampos,17.27,L4164,Loyalty,NA
1/6/2014,Jack's Magical Beans,11.03,L6267,Loyalty,NA
1/6/2014,Katerina Cafe,18.56,L6267,Loyalty,NA
1/6/2014,Coffee Cameleon,8.73,L1682,Loyalty,NA
1/6/2014,Gelatogalore,12.74,L1682,Loyalty,NA
1/6/2014,Katerina Cafe,23.63,L1682,Loyalty,NA
1/6/2014,Brew've Been Served,18.24,L1485,Loyalty,NA
1/6/2014,Katerina Cafe,39.41,L1485,Loyalty,NA
1/6/2014,Brewed Awakenings,16.89,L5947,Loyalty,NA
1/6/2014,Ouzeri Elian,38.9,L5947,Loyalty,NA
1/6/2014,Gelatogalore,22.64,L6119,Loyalty,NA
1/6/2014,Bean There Done That,8.54,L3014,Loyalty,NA
1/6/2014,Hippokampos,8.64,L3014,Loyalty,NA
1/6/2014,Hippokampos,26.8,L3014,Loyalty,NA
1/6/2014,Brewed Awakenings,4.35,L2070,Loyalty,NA
1/6/2014,Hippokampos,20.61,L2070,Loyalty,NA
1/6/2014,Bean There Done That,5.24,L4149,Loyalty,NA
1/6/2014,Hippokampos,35.34,L4149,Loyalty,NA
1/6/2014,Abila Zacharo,18.11,L6544,Loyalty,NA
1/6/2014,Guy's Gyros,15.29,L6544,Loyalty,NA
1/6/2014,Hallowed Grounds,12.22,L6544,Loyalty,NA
1/6/2014,Hallowed Grounds,10.07,L4424,Loyalty,NA
1/6/2014,Katerina Cafe,13.59,L4424,Loyalty,NA
1/6/2014,Katerina Cafe,12.32,L4424,Loyalty,NA
1/6/2014,Brew've Been Served,8.88,L5259,Loyalty,NA
1/6/2014,Gelatogalore,23.41,L5259,Loyalty,NA
1/6/2014,Guy's Gyros,28.94,L5259,Loyalty,NA
1/6/2014,Brew've Been Served,4.24,L3800,Loyalty,NA
1/6/2014,Guy's Gyros,16.92,L3800,Loyalty,NA
1/6/2014,Guy's Gyros,39.29,L3800,Loyalty,NA
1/6/2014,Hallowed Grounds,16.72,L5553,Loyalty,NA
1/6/2014,Katerina Cafe,32.64,L5553,Loyalty,NA
1/6/2014,Bean There Done That,4.27,L3366,Loyalty,NA
1/6/2014,Hippokampos,25.5,L3366,Loyalty,NA
1/6/2014,Ouzeri Elian,20.4,L3366,Loyalty,NA
1/6/2014,Brew've Been Served,8.33,L8148,Loyalty,NA
1/6/2014,Guy's Gyros,37.82,L8148,Loyalty,NA
1/6/2014,Ouzeri Elian,20.56,L8148,Loyalty,NA
1/6/2014,Carlyle Chemical Inc.,3959.66,L4063,Loyalty,NA
1/6/2014,Abila Airport,4540.08,L4063,Loyalty,NA
1/6/2014,Abila Airport,777.06,L4063,Loyalty,NA
1/6/2014,Kronos Pipe and Irrigation,242.21,L4063,Loyalty,NA
1/6/2014,Maximum Iron and Steel,2859.51,L4063,Loyalty,NA
1/6/2014,Ouzeri Elian,16.84,L4063,Loyalty,NA
1/6/2014,Brew've Been Served,14.97,L3572,Loyalty,NA
1/6/2014,Brew've Been Served,3.67,L2490,Loyalty,NA
1/6/2014,Guy's Gyros,22.57,L2490,Loyalty,NA
1/6/2014,Kalami Kafenion,30.1,L2490,Loyalty,NA
1/6/2014,U-Pump,59.51,L2490,Loyalty,NA
1/6/2014,Abila Airport,612.47,L2769,Loyalty,NA
1/6/2014,Albert's Fine Clothing,121.76,L2169,Loyalty,NA
1/6/2014,Brew've Been Served,15.58,L2169,Loyalty,NA
1/6/2014,Kalami Kafenion,22.31,L2169,Loyalty,NA
1/6/2014,Nationwide Refinery,761.64,L9633,Loyalty,NA
1/6/2014,Stewart and Sons Fabrication,2144.62,L9633,Loyalty,NA
1/6/2014,Coffee Cameleon,11.86,L9637,Loyalty,NA
1/6/2014,Frydos Autosupply n' More,197.32,L9637,Loyalty,NA
1/6/2014,Frydos Autosupply n' More,274.98,L8012,Loyalty,NA
1/6/2014,Guy's Gyros,11.22,L8012,Loyalty,NA
1/6/2014,Abila Zacharo,50.14,L3288,Loyalty,NA
1/6/2014,Frydos Autosupply n' More,253.87,L3288,Loyalty,NA
1/6/2014,Jack's Magical Beans,18.59,L3288,Loyalty,NA
1/6/2014,Gelatogalore,36.33,L7814,Loyalty,NA
1/6/2014,Hallowed Grounds,10.66,L7814,Loyalty,NA
1/6/2014,Katerina Cafe,26.1,L7814,Loyalty,NA
1/6/2014,Abila Zacharo,23.15,L3259,Loyalty,NA
1/6/2014,Brew've Been Served,12.83,L3259,Loyalty,NA
1/6/2014,Katerina Cafe,17.92,L3259,Loyalty,NA
1/6/2014,Coffee Cameleon,8.39,L3295,Loyalty,NA
1/6/2014,Katerina Cafe,15.52,L3295,Loyalty,NA
1/6/2014,Ouzeri Elian,30.87,L3295,Loyalty,NA
1/6/2014,Brew've Been Served,5.66,L9363,Loyalty,NA
1/6/2014,Guy's Gyros,11.94,L9363,Loyalty,NA
1/6/2014,Katerina Cafe,19.65,L9363,Loyalty,NA
1/6/2014,Jack's Magical Beans,7.84,L5224,Loyalty,NA
1/6/2014,Brew've Been Served,16.9,L7291,Loyalty,NA
1/6/2014,Ouzeri Elian,34.71,L7291,Loyalty,NA
1/6/2014,Brew've Been Served,11.34,L8566,Loyalty,NA
1/6/2014,Hippokampos,13.26,L8566,Loyalty,NA
1/6/2014,Abila Zacharo,12.05,L9254,Loyalty,NA
1/6/2014,Brew've Been Served,10.68,L9254,Loyalty,NA
1/6/2014,Shoppers' Delight,293.67,L9254,Loyalty,NA
1/6/2014,Guy's Gyros,19.67,L6886,Loyalty,NA
1/6/2014,Jack's Magical Beans,18.1,L6886,Loyalty,NA
1/7/2014,Gelatogalore,21.52,L5777,Loyalty,NA
1/7/2014,Hallowed Grounds,4.44,L5777,Loyalty,NA
1/7/2014,Ouzeri Elian,25.27,L5777,Loyalty,NA
1/7/2014,Abila Zacharo,13.52,L7783,Loyalty,NA
1/7/2014,Bean There Done That,11.25,L7783,Loyalty,NA
1/7/2014,Hippokampos,11.56,L7783,Loyalty,NA
1/7/2014,Guy's Gyros,10.11,L3191,Loyalty,NA
1/7/2014,Abila Zacharo,12.72,L4164,Loyalty,NA
1/7/2014,Hippokampos,15.85,L4164,Loyalty,NA
1/7/2014,Abila Zacharo,22.25,L6267,Loyalty,NA
1/7/2014,Jack's Magical Beans,3.68,L6267,Loyalty,NA
1/7/2014,Coffee Cameleon,7.66,L1682,Loyalty,NA
1/7/2014,Gelatogalore,34.04,L1682,Loyalty,NA
1/7/2014,Katerina Cafe,19.49,L1682,Loyalty,NA
1/7/2014,Brewed Awakenings,4.84,L1485,Loyalty,NA
1/7/2014,Guy's Gyros,22.33,L1485,Loyalty,NA
1/7/2014,Hippokampos,31.69,L1485,Loyalty,NA
1/7/2014,Brewed Awakenings,11.59,L5947,Loyalty,NA
1/7/2014,Guy's Gyros,34.09,L5947,Loyalty,NA
1/7/2014,Hippokampos,21.2,L5947,Loyalty,NA
1/7/2014,Hallowed Grounds,14.05,L6119,Loyalty,NA
1/7/2014,Katerina Cafe,22.27,L6119,Loyalty,NA
1/7/2014,Katerina Cafe,14.75,L6119,Loyalty,NA
1/7/2014,Bean There Done That,13.89,L3014,Loyalty,NA
1/7/2014,Hippokampos,20.17,L3014,Loyalty,NA
1/7/2014,Kalami Kafenion,22.83,L3014,Loyalty,NA
1/7/2014,Brewed Awakenings,6.72,L2070,Loyalty,NA
1/7/2014,Gelatogalore,35.06,L2070,Loyalty,NA
1/7/2014,Hippokampos,22.18,L2070,Loyalty,NA
1/7/2014,Bean There Done That,8.03,L4149,Loyalty,NA
1/7/2014,Hippokampos,10.19,L4149,Loyalty,NA
1/7/2014,Hallowed Grounds,18.97,L6544,Loyalty,NA
1/7/2014,Kalami Kafenion,22.14,L6544,Loyalty,NA
1/7/2014,Gelatogalore,31.77,L4424,Loyalty,NA
1/7/2014,Abila Zacharo,25.9,L5259,Loyalty,NA
1/7/2014,Guy's Gyros,14.87,L5259,Loyalty,NA
1/7/2014,Brew've Been Served,5.08,L3800,Loyalty,NA
1/7/2014,Guy's Gyros,22.25,L3800,Loyalty,NA
1/7/2014,Kalami Kafenion,25.9,L3800,Loyalty,NA
1/7/2014,Guy's Gyros,12.57,L5553,Loyalty,NA
1/7/2014,Hallowed Grounds,9.92,L5553,Loyalty,NA
