Date,Location,Price,CC.Loyalty
1/10/2014,Hallowed Grounds,17.63,Loyalty
1/10/2014,Coffee Cameleon,9.69,Loyalty
1/10/2014,Brew've Been Served,5.91,Loyalty
1/10/2014,Hallowed Grounds,9.34,Loyalty
1/10/2014,Brew've Been Served,14.36,Loyalty
1/10/2014,Katerina Cafe,21.22,Loyalty
1/10/2014,Abila Zacharo,31.34,Loyalty
1/10/2014,Kalami Kafenion,27.48,Loyalty
1/10/2014,Guy's Gyros,38.15,Loyalty
1/10/2014,Ouzeri Elian,24.74,Loyalty
1/10/2014,Guy's Gyros,16.34,Loyalty
1/10/2014,Abila Zacharo,9.32,Loyalty
1/10/2014,Gelatogalore,32.19,Loyalty
1/10/2014,Hippokampos,19.88,Loyalty
1/10/2014,Frydos Autosupply n' More,43.65,Loyalty
1/10/2014,Katerina Cafe,8.14,Loyalty
1/10/2014,Katerina Cafe,21.28,Loyalty
1/10/2014,Guy's Gyros,25.81,Loyalty
1/11/2014,Katerina Cafe,45.21,Loyalty
1/11/2014,Hippokampos,22.23,Loyalty
1/11/2014,Kalami Kafenion,35.66,Loyalty
1/11/2014,Shoppers' Delight,238.52,Loyalty
1/11/2014,General Grocer,78.02,Loyalty
1/11/2014,Katerina Cafe,20.71,Loyalty
1/11/2014,Guy's Gyros,36.2,Loyalty
1/11/2014,Katerina Cafe,25.76,Loyalty
1/11/2014,Katerina Cafe,52.45,Loyalty
1/11/2014,Frydos Autosupply n' More,236.25,Loyalty
1/11/2014,Hippokampos,69.8,Loyalty
1/11/2014,Katerina Cafe,94.68,Loyalty
1/12/2014,Ouzeri Elian,98.45,Loyalty
1/12/2014,Hippokampos,29.2,Loyalty
1/12/2014,Guy's Gyros,30.47,Loyalty
1/12/2014,Kronos Mart,147.3,Loyalty
1/12/2014,General Grocer,159.3,Loyalty
1/12/2014,Katerina Cafe,40.94,Loyalty
1/12/2014,Frydos Autosupply n' More,88.93,Loyalty
1/12/2014,Katerina Cafe,39.3,Loyalty
1/12/2014,Katerina Cafe,16.34,Loyalty
1/12/2014,Katerina Cafe,40.25,Loyalty
1/12/2014,Frydos Autosupply n' More,161.96,Loyalty
01/13/2014,Brew've Been Served,9.53,Loyalty
01/13/2014,Hallowed Grounds,6.32,Loyalty
01/13/2014,Brew've Been Served,13.37,Loyalty
01/13/2014,Coffee Cameleon,17.49,Loyalty
01/13/2014,Coffee Shack,4.09,Loyalty
01/13/2014,Hallowed Grounds,15.96,Loyalty
01/13/2014,Brew've Been Served,19.89,Loyalty
01/13/2014,Katerina Cafe,38.98,Loyalty
01/13/2014,Hippokampos,14.04,Loyalty
01/13/2014,Guy's Gyros,21.03,Loyalty
01/13/2014,Kalami Kafenion,20.33,Loyalty
01/13/2014,Gelatogalore,36.24,Loyalty
01/13/2014,Guy's Gyros,38.07,Loyalty
01/13/2014,Gelatogalore,37.17,Loyalty
01/13/2014,Hippokampos,26.96,Loyalty
01/13/2014,Guy's Gyros,36.87,Loyalty
01/13/2014,Frydos Autosupply n' More,188.57,Loyalty
01/13/2014,Frydos Autosupply n' More,64.6,Loyalty
01/13/2014,Ouzeri Elian,21.83,Loyalty
01/13/2014,Katerina Cafe,33.57,Loyalty
01/13/2014,Guy's Gyros,19.77,Loyalty
01/13/2014,Hippokampos,32.29,Loyalty
01/13/2014,Frydos Autosupply n' More,202.05,Loyalty
01/14/2014,Brew've Been Served,14.67,Loyalty
01/14/2014,Hallowed Grounds,16.67,Loyalty
01/14/2014,Brew've Been Served,14.04,Loyalty
01/14/2014,Brew've Been Served,9.53,Loyalty
01/14/2014,Coffee Cameleon,11.67,Loyalty
01/14/2014,Hallowed Grounds,10.65,Loyalty
01/14/2014,Brew've Been Served,16.39,Loyalty
01/14/2014,Coffee Shack,3.63,Loyalty
01/14/2014,Hallowed Grounds,6.16,Loyalty
01/14/2014,Brew've Been Served,11.53,Loyalty
01/14/2014,Abila Zacharo,31.09,Loyalty
01/14/2014,Kalami Kafenion,33.13,Loyalty
01/14/2014,Katerina Cafe,11.26,Loyalty
01/14/2014,Katerina Cafe,31.69,Loyalty
01/14/2014,Ouzeri Elian,33.67,Loyalty
01/14/2014,Kalami Kafenion,27.65,Loyalty
01/14/2014,Gelatogalore,35.97,Loyalty
01/14/2014,Ouzeri Elian,19.7,Loyalty
01/14/2014,Gelatogalore,22.03,Loyalty
01/14/2014,Hippokampos,16.73,Loyalty
01/14/2014,Guy's Gyros,35.12,Loyalty
01/14/2014,Katerina Cafe,31.94,Loyalty
01/14/2014,Katerina Cafe,26.61,Loyalty
01/14/2014,Ouzeri Elian,20.95,Loyalty
01/14/2014,Katerina Cafe,25.4,Loyalty
01/14/2014,Katerina Cafe,28.05,Loyalty
01/14/2014,Frydos Autosupply n' More,49.21,Loyalty
01/15/2014,Hallowed Grounds,18.69,Loyalty
01/15/2014,Brew've Been Served,3.14,Loyalty
01/15/2014,Brew've Been Served,8.42,Loyalty
01/15/2014,Brew've Been Served,5.75,Loyalty
01/15/2014,Coffee Shack,18.17,Loyalty
01/15/2014,Coffee Cameleon,16.31,Loyalty
01/15/2014,Hallowed Grounds,14.39,Loyalty
01/15/2014,Brew've Been Served,3.47,Loyalty
01/15/2014,Katerina Cafe,28.56,Loyalty
01/15/2014,Kalami Kafenion,38.5,Loyalty
01/15/2014,Ouzeri Elian,25.7,Loyalty
01/15/2014,Kalami Kafenion,37.15,Loyalty
01/15/2014,Guy's Gyros,12.19,Loyalty
01/15/2014,Gelatogalore,24.96,Loyalty
01/15/2014,Ouzeri Elian,26.61,Loyalty
01/15/2014,Guy's Gyros,16.58,Loyalty
01/15/2014,Gelatogalore,22.36,Loyalty
01/15/2014,Abila Zacharo,26.82,Loyalty
01/15/2014,Katerina Cafe,36.8,Loyalty
01/15/2014,Guy's Gyros,24.91,Loyalty
01/15/2014,Katerina Cafe,38.81,Loyalty
01/15/2014,Katerina Cafe,29.33,Loyalty
01/15/2014,Katerina Cafe,29.66,Loyalty
01/15/2014,Katerina Cafe,21.61,Loyalty
01/15/2014,Albert's Fine Clothing,228.15,Loyalty
01/15/2014,Frydos Autosupply n' More,276.88,Loyalty
01/15/2014,Ouzeri Elian,8.57,Loyalty
01/16/2014,Brew've Been Served,5.05,Loyalty
01/16/2014,Hallowed Grounds,17.92,Loyalty
01/16/2014,Coffee Shack,10.48,Loyalty
01/16/2014,Brew've Been Served,3.84,Loyalty
01/16/2014,Coffee Cameleon,3.14,Loyalty
01/16/2014,Hallowed Grounds,18.23,Loyalty
01/16/2014,Hallowed Grounds,4.6,Loyalty
01/16/2014,Brew've Been Served,11.21,Loyalty
01/16/2014,Katerina Cafe,39.74,Loyalty
01/16/2014,Hippokampos,13.05,Loyalty
01/16/2014,Abila Zacharo,24.38,Loyalty
01/16/2014,Katerina Cafe,38.32,Loyalty
01/16/2014,Kalami Kafenion,9.27,Loyalty
01/16/2014,Ouzeri Elian,8.52,Loyalty
01/16/2014,Ouzeri Elian,8.47,Loyalty
01/16/2014,Ouzeri Elian,31.21,Loyalty
01/16/2014,Guy's Gyros,36.48,Loyalty
01/16/2014,Octavio's Office Supplies,131.01,Loyalty
01/16/2014,Katerina Cafe,13.68,Loyalty
01/16/2014,Katerina Cafe,29.3,Loyalty
01/16/2014,Albert's Fine Clothing,283.38,Loyalty
01/16/2014,Katerina Cafe,18.79,Loyalty
01/16/2014,Ouzeri Elian,22.65,Loyalty
01/16/2014,Katerina Cafe,35.43,Loyalty
01/16/2014,Katerina Cafe,30.56,Loyalty
01/16/2014,Frydos Autosupply n' More,130.01,Loyalty
01/17/2014,Brew've Been Served,11.69,Loyalty
01/17/2014,Brew've Been Served,8.07,Loyalty
01/17/2014,Coffee Shack,19.16,Loyalty
01/17/2014,Hallowed Grounds,5.52,Loyalty
01/17/2014,Coffee Cameleon,7.49,Loyalty
01/17/2014,Brew've Been Served,18.15,Loyalty
01/17/2014,Brew've Been Served,14.58,Loyalty
01/17/2014,Hippokampos,38.21,Loyalty
01/17/2014,Gelatogalore,18.1,Loyalty
01/17/2014,Hippokampos,23.54,Loyalty
01/17/2014,Kalami Kafenion,24.21,Loyalty
01/17/2014,Guy's Gyros,15.12,Loyalty
01/17/2014,Guy's Gyros,21.1,Loyalty
01/17/2014,Abila Zacharo,11.95,Loyalty
01/17/2014,Katerina Cafe,30.72,Loyalty
01/17/2014,Ouzeri Elian,26.1,Loyalty
01/17/2014,Katerina Cafe,21.16,Loyalty
01/17/2014,Hippokampos,19.76,Loyalty
01/17/2014,Frydos Autosupply n' More,124.52,Loyalty
01/17/2014,Katerina Cafe,14.93,Loyalty
01/17/2014,Katerina Cafe,36.12,Loyalty
01/17/2014,Ouzeri Elian,26.4,Loyalty
01/17/2014,Katerina Cafe,33.73,Loyalty
01/17/2014,Frydos Autosupply n' More,67.29,Loyalty
01/18/2014,Katerina Cafe,34.54,Loyalty
01/18/2014,Kalami Kafenion,30.12,Loyalty
01/18/2014,Kalami Kafenion,42.73,Loyalty
01/18/2014,Gelatogalore,24.38,Loyalty
01/18/2014,Katerina Cafe,37.26,Loyalty
01/18/2014,Frydos Autosupply n' More,103.41,Loyalty
01/18/2014,Albert's Fine Clothing,189.52,Loyalty
01/18/2014,Frydos Autosupply n' More,234.53,Loyalty
01/18/2014,Guy's Gyros,28.07,Loyalty
01/18/2014,Ouzeri Elian,14.9,Loyalty
01/18/2014,Katerina Cafe,32.68,Loyalty
01/18/2014,Katerina Cafe,45.88,Loyalty
01/18/2014,Hippokampos,55.03,Loyalty
1/6/2014,Albert's Fine Clothing,276.9,Loyalty
1/6/2014,Hallowed Grounds,8.05,Loyalty
1/6/2014,Bean There Done That,10.28,Loyalty
1/6/2014,Guy's Gyros,15.44,Loyalty
1/6/2014,Hippokampos,21.33,Loyalty
1/6/2014,Bean There Done That,16.09,Loyalty
1/6/2014,Guy's Gyros,30.82,Loyalty
1/6/2014,Abila Zacharo,30.08,Loyalty
1/6/2014,Brewed Awakenings,5.72,Loyalty
1/6/2014,Hippokampos,17.27,Loyalty
1/6/2014,Jack's Magical Beans,11.03,Loyalty
1/6/2014,Katerina Cafe,18.56,Loyalty
1/6/2014,Coffee Cameleon,8.73,Loyalty
1/6/2014,Gelatogalore,12.74,Loyalty
1/6/2014,Katerina Cafe,23.63,Loyalty
1/6/2014,Brew've Been Served,18.24,Loyalty
1/6/2014,Katerina Cafe,39.41,Loyalty
1/6/2014,Brewed Awakenings,16.89,Loyalty
1/6/2014,Ouzeri Elian,38.9,Loyalty
1/6/2014,Gelatogalore,22.64,Loyalty
1/6/2014,Bean There Done That,8.54,Loyalty
1/6/2014,Hippokampos,8.64,Loyalty
1/6/2014,Hippokampos,26.8,Loyalty
1/6/2014,Brewed Awakenings,4.35,Loyalty
1/6/2014,Hippokampos,20.61,Loyalty
1/6/2014,Bean There Done That,5.24,Loyalty
1/6/2014,Hippokampos,35.34,Loyalty
1/6/2014,Abila Zacharo,18.11,Loyalty
1/6/2014,Guy's Gyros,15.29,Loyalty
1/6/2014,Hallowed Grounds,12.22,Loyalty
1/6/2014,Hallowed Grounds,10.07,Loyalty
1/6/2014,Katerina Cafe,13.59,Loyalty
1/6/2014,Katerina Cafe,12.32,Loyalty
1/6/2014,Brew've Been Served,8.88,Loyalty
1/6/2014,Gelatogalore,23.41,Loyalty
1/6/2014,Guy's Gyros,28.94,Loyalty
1/6/2014,Brew've Been Served,4.24,Loyalty
1/6/2014,Guy's Gyros,16.92,Loyalty
1/6/2014,Guy's Gyros,39.29,Loyalty
1/6/2014,Hallowed Grounds,16.72,Loyalty
1/6/2014,Katerina Cafe,32.64,Loyalty
1/6/2014,Bean There Done That,4.27,Loyalty
1/6/2014,Hippokampos,25.5,Loyalty
1/6/2014,Ouzeri Elian,20.4,Loyalty
1/6/2014,Brew've Been Served,8.33,Loyalty
1/6/2014,Guy's Gyros,37.82,Loyalty
1/6/2014,Ouzeri Elian,20.56,Loyalty
1/6/2014,Carlyle Chemical Inc.,3959.66,Loyalty
1/6/2014,Abila Airport,4540.08,Loyalty
1/6/2014,Abila Airport,777.06,Loyalty
1/6/2014,Kronos Pipe and Irrigation,242.21,Loyalty
1/6/2014,Maximum Iron and Steel,2859.51,Loyalty
1/6/2014,Ouzeri Elian,16.84,Loyalty
1/6/2014,Brew've Been Served,14.97,Loyalty
1/6/2014,Brew've Been Served,3.67,Loyalty
1/6/2014,Guy's Gyros,22.57,Loyalty
1/6/2014,Kalami Kafenion,30.1,Loyalty
1/6/2014,U-Pump,59.51,Loyalty
1/6/2014,Abila Airport,612.47,Loyalty
1/6/2014,Albert's Fine Clothing,121.76,Loyalty
1/6/2014,Brew've Been Served,15.58,Loyalty
1/6/2014,Kalami Kafenion,22.31,Loyalty
1/6/2014,Nationwide Refinery,761.64,Loyalty
1/6/2014,Stewart and Sons Fabrication,2144.62,Loyalty
1/6/2014,Coffee Cameleon,11.86,Loyalty
1/6/2014,Frydos Autosupply n' More,197.32,Loyalty
1/6/2014,Frydos Autosupply n' More,274.98,Loyalty
1/6/2014,Guy's Gyros,11.22,Loyalty
1/6/2014,Abila Zacharo,50.14,Loyalty
1/6/2014,Frydos Autosupply n' More,253.87,Loyalty
1/6/2014,Jack's Magical Beans,18.59,Loyalty
1/6/2014,Gelatogalore,36.33,Loyalty
1/6/2014,Hallowed Grounds,10.66,Loyalty
1/6/2014,Katerina Cafe,26.1,Loyalty
1/6/2014,Abila Zacharo,23.15,Loyalty
1/6/2014,Brew've Been Served,12.83,Loyalty
1/6/2014,Katerina Cafe,17.92,Loyalty
1/6/2014,Coffee Cameleon,8.39,Loyalty
1/6/2014,Katerina Cafe,15.52,Loyalty
1/6/2014,Ouzeri Elian,30.87,Loyalty
1/6/2014,Brew've Been Served,5.66,Loyalty
1/6/2014,Guy's Gyros,11.94,Loyalty
1/6/2014,Katerina Cafe,19.65,Loyalty
1/6/2014,Jack's Magical Beans,7.84,Loyalty
1/6/2014,Brew've Been Served,16.9,Loyalty
1/6/2014,Ouzeri Elian,34.71,Loyalty
1/6/2014,Brew've Been Served,11.34,Loyalty
1/6/2014,Hippokampos,13.26,Loyalty
1/6/2014,Abila Zacharo,12.05,Loyalty
1/6/2014,Brew've Been Served,10.68,Loyalty
1/6/2014,Shoppers' Delight,293.67,Loyalty
1/6/2014,Guy's Gyros,19.67,Loyalty
1/6/2014,Jack's Magical Beans,18.1,Loyalty
1/7/2014,Gelatogalore,21.52,Loyalty
1/7/2014,Hallowed Grounds,4.44,Loyalty
1/7/2014,Ouzeri Elian,25.27,Loyalty
1/7/2014,Abila Zacharo,13.52,Loyalty
1/7/2014,Bean There Done That,11.25,Loyalty
1/7/2014,Hippokampos,11.56,Loyalty
1/7/2014,Guy's Gyros,10.11,Loyalty
1/7/2014,Abila Zacharo,12.72,Loyalty
1/7/2014,Hippokampos,15.85,Loyalty
1/7/2014,Abila Zacharo,22.25,Loyalty
1/7/2014,Jack's Magical Beans,3.68,Loyalty
1/7/2014,Coffee Cameleon,7.66,Loyalty
1/7/2014,Gelatogalore,34.04,Loyalty
1/7/2014,Katerina Cafe,19.49,Loyalty
1/7/2014,Brewed Awakenings,4.84,Loyalty
1/7/2014,Guy's Gyros,22.33,Loyalty
1/7/2014,Hippokampos,31.69,Loyalty
1/7/2014,Brewed Awakenings,11.59,Loyalty
1/7/2014,Guy's Gyros,34.09,Loyalty
1/7/2014,Hippokampos,21.2,Loyalty
1/7/2014,Hallowed Grounds,14.05,Loyalty
1/7/2014,Katerina Cafe,22.27,Loyalty
1/7/2014,Katerina Cafe,14.75,Loyalty
1/7/2014,Bean There Done That,13.89,Loyalty
1/7/2014,Hippokampos,20.17,Loyalty
1/7/2014,Kalami Kafenion,22.83,Loyalty
1/7/2014,Brewed Awakenings,6.72,Loyalty
1/7/2014,Gelatogalore,35.06,Loyalty
1/7/2014,Hippokampos,22.18,Loyalty
1/7/2014,Bean There Done That,8.03,Loyalty
1/7/2014,Hippokampos,10.19,Loyalty
1/7/2014,Hallowed Grounds,18.97,Loyalty
1/7/2014,Kalami Kafenion,22.14,Loyalty
1/7/2014,Gelatogalore,31.77,Loyalty
1/7/2014,Abila Zacharo,25.9,Loyalty
1/7/2014,Guy's Gyros,14.87,Loyalty
1/7/2014,Brew've Been Served,5.08,Loyalty
1/7/2014,Guy's Gyros,22.25,Loyalty
1/7/2014,Kalami Kafenion,25.9,Loyalty
1/7/2014,Guy's Gyros,12.57,Loyalty
1/7/2014,Hallowed Grounds,9.92,Loyalty
1/7/2014,Katerina Cafe,17.26,Loyalty
1/7/2014,Albert's Fine Clothing,228.36,Loyalty
1/7/2014,Bean There Done That,6.25,Loyalty
1/7/2014,Ouzeri Elian,24.84,Loyalty
1/7/2014,Guy's Gyros,11.31,Loyalty
1/7/2014,Abila Airport,3840.37,Loyalty
1/7/2014,Stewart and Sons Fabrication,1200.9,Loyalty
1/7/2014,Brew've Been Served,11.92,Loyalty
1/7/2014,Brew've Been Served,9.06,Loyalty
1/7/2014,Guy's Gyros,31.23,Loyalty
1/7/2014,Katerina Cafe,31.41,Loyalty
1/7/2014,Abila Airport,124.89,Loyalty
1/7/2014,Abila Airport,3411.29,Loyalty
1/7/2014,Brew've Been Served,3,Loyalty
1/7/2014,Katerina Cafe,10.9,Loyalty
1/7/2014,Carlyle Chemical Inc.,3827.2,Loyalty
1/7/2014,Katerina Cafe,19.07,Loyalty
1/7/2014,Nationwide Refinery,1562.66,Loyalty
1/7/2014,Nationwide Refinery,1347.36,Loyalty
1/7/2014,Stewart and Sons Fabrication,1783.33,Loyalty
1/7/2014,Kronos Pipe and Irrigation,3920.82,Loyalty
1/7/2014,Maximum Iron and Steel,3207.31,Loyalty
1/7/2014,Coffee Cameleon,11.55,Loyalty
1/7/2014,Katerina Cafe,10.07,Loyalty
1/7/2014,Ouzeri Elian,29.1,Loyalty
1/7/2014,Hallowed Grounds,7.88,Loyalty
1/7/2014,Katerina Cafe,18.35,Loyalty
1/7/2014,Jack's Magical Beans,18.77,Loyalty
1/7/2014,Kalami Kafenion,45.05,Loyalty
1/7/2014,Ouzeri Elian,11.41,Loyalty
1/7/2014,Hallowed Grounds,9.61,Loyalty
1/7/2014,Hippokampos,16.11,Loyalty
1/7/2014,Katerina Cafe,32.83,Loyalty
1/7/2014,Brew've Been Served,14.49,Loyalty
1/7/2014,Gelatogalore,17.21,Loyalty
1/7/2014,Katerina Cafe,33.29,Loyalty
1/7/2014,Coffee Cameleon,9.1,Loyalty
1/7/2014,Gelatogalore,8.97,Loyalty
1/7/2014,Katerina Cafe,19.53,Loyalty
1/7/2014,Brew've Been Served,7.74,Loyalty
1/7/2014,Frydos Autosupply n' More,272.73,Loyalty
1/7/2014,Ouzeri Elian,19.51,Loyalty
1/7/2014,Abila Scrapyard,2149.28,Loyalty
1/7/2014,Abila Airport,1641.96,Loyalty
1/7/2014,Nationwide Refinery,889.58,Loyalty
1/7/2014,Guy's Gyros,29.57,Loyalty
1/7/2014,Jack's Magical Beans,19.61,Loyalty
1/7/2014,Abila Zacharo,17.81,Loyalty
1/7/2014,Brew've Been Served,18.53,Loyalty
1/7/2014,Kalami Kafenion,18.06,Loyalty
1/7/2014,Brewed Awakenings,12.59,Loyalty
1/7/2014,Guy's Gyros,38.56,Loyalty
1/7/2014,Guy's Gyros,9.76,Loyalty
1/7/2014,Gelatogalore,8.98,Loyalty
1/7/2014,Hippokampos,37.88,Loyalty
1/7/2014,Jack's Magical Beans,9.84,Loyalty
1/8/2014,Hippokampos,39.8,Loyalty
1/8/2014,Ouzeri Elian,10.81,Loyalty
1/8/2014,Abila Zacharo,14.41,Loyalty
1/8/2014,Bean There Done That,17.45,Loyalty
1/8/2014,Hippokampos,10.52,Loyalty
1/8/2014,Albert's Fine Clothing,136.01,Loyalty
1/8/2014,Bean There Done That,12.07,Loyalty
1/8/2014,Hippokampos,28.79,Loyalty
1/8/2014,Brewed Awakenings,11.73,Loyalty
1/8/2014,Hippokampos,26.31,Loyalty
1/8/2014,Ouzeri Elian,32.61,Loyalty
1/8/2014,Jack's Magical Beans,3.96,Loyalty
1/8/2014,Katerina Cafe,8.53,Loyalty
1/8/2014,Ouzeri Elian,29.85,Loyalty
1/8/2014,Coffee Cameleon,6.59,Loyalty
1/8/2014,Hippokampos,16.59,Loyalty
1/8/2014,Katerina Cafe,19.12,Loyalty
1/8/2014,Brew've Been Served,12.92,Loyalty
1/8/2014,Frank's Fuel,65.34,Loyalty
1/8/2014,Frydos Autosupply n' More,182.56,Loyalty
1/8/2014,Guy's Gyros,17.9,Loyalty
1/8/2014,Brewed Awakenings,12.32,Loyalty
1/8/2014,Chostus Hotel,107.51,Loyalty
1/8/2014,Hippokampos,16.54,Loyalty
1/8/2014,Gelatogalore,35.29,Loyalty
1/8/2014,Hallowed Grounds,19.92,Loyalty
1/8/2014,Katerina Cafe,36.6,Loyalty
1/8/2014,Hippokampos,12.62,Loyalty
1/8/2014,Hippokampos,26.55,Loyalty
1/8/2014,Hippokampos,15.64,Loyalty
1/8/2014,Bean There Done That,14.96,Loyalty
1/8/2014,Hippokampos,37.89,Loyalty
1/8/2014,General Grocer,265.84,Loyalty
1/8/2014,Guy's Gyros,15.86,Loyalty
1/8/2014,Hallowed Grounds,8.15,Loyalty
1/8/2014,Katerina Cafe,27.87,Loyalty
1/8/2014,Brew've Been Served,17.13,Loyalty
1/8/2014,Gelatogalore,36.72,Loyalty
1/8/2014,Brew've Been Served,3.42,Loyalty
1/8/2014,Guy's Gyros,30.12,Loyalty
1/8/2014,Guy's Gyros,28.81,Loyalty
1/8/2014,Abila Zacharo,16.2,Loyalty
1/8/2014,Hallowed Grounds,3.4,Loyalty
1/8/2014,Bean There Done That,16.18,Loyalty
1/8/2014,Hippokampos,32.66,Loyalty
1/8/2014,Katerina Cafe,37.04,Loyalty
1/8/2014,Brew've Been Served,8.27,Loyalty
1/8/2014,Kalami Kafenion,14.77,Loyalty
1/8/2014,Brew've Been Served,7.26,Loyalty
1/8/2014,Brew've Been Served,11.87,Loyalty
1/8/2014,Gelatogalore,39.75,Loyalty
1/8/2014,Guy's Gyros,19.08,Loyalty
1/8/2014,Abila Airport,2723.18,Loyalty
1/8/2014,Abila Airport,2769.12,Loyalty
1/8/2014,Brew've Been Served,6.3,Loyalty
1/8/2014,Guy's Gyros,10.34,Loyalty
1/8/2014,Guy's Gyros,30.48,Loyalty
